,Filter,Orignal
949,seller delivered then see seller cant help,"@116025 The seller should have delivered it by then, but as you don't have it just see https://t.co/Yh3pSrspGY if the seller can't help! ^D"
950,received yet contract delivery product seller,@AskeBay I haven't received it as of yet. And I have a contract with you for the delivery of product not with seller.
951,so instead telling contact seller guys contact seller,"@AskeBay So, instead of telling me to contact the seller you guys should contact the seller."
952,contract seller shipped it protect get open case,"@116025 The contract is between you and the seller! They shipped it, but we protect you if you didn't get it if you open a case. ^D"
953,received anything yet ill contact seller tomorrow morning service pathetic,@AskeBay I haven't received anything as of yet. I'll contact seller tomorrow morning. But your service is pathetic.
954,view link give refund get it look guarantee steps activating,@116025 Did you view our link? We can give a refund if you don't get it! Just look at our guarantee for steps on activating it. ^D
955,would appreciate got refund previous damaged product ebay timelines delivery,@AskeBay I would appreciate that I got the refund of my previous damaged product from eBay. But where are the timelines for delivery.
956,email address associated account email,@AskeBay The email address associated with my account is __email__ .
957,im looking refund check account would condemn service worst packing,@AskeBay I'm not looking for the refund. Just check my account and you would yourself condemn your service and worst packing .
958,received yet layman terms say im waiting th oct much time wait,@AskeBay And I haven't received it yet so in layman terms you can say I'm Waiting for it from 9th of Oct. How much time can I wait.
959,provided refund mad product ordered product st,@AskeBay and so you have provided me the refund for that. But as I was mad about this product so I ordered the same product on 21st .
960,looking product let tell something bought similar product th month damaged,@AskeBay I am looking for the product. Let me tell you something. I bought a similar product on 9th of this month. But that was damaged  .
961,still cant see this please dm us full name zip code amp item number amp well advise date ml,"@116025 If you still can't see this, please DM us your full name, Zip code &amp; item number &amp; we'll advise on this date for you. 2/2^ML"
962,check team else keep fucking money guys stressed,@AskeBay And check with your team. Or else keep my fucking money as you guys have stressed me out. ?@61113
963,kindly check message needful worst service,@AskeBay @2598 kindly check the above message and do the needful for your worst service.
964,thank reply estimate delivery date order available view purchase history,@116025 Thank you for your reply. The estimate delivery date for this order will be available to view in your ‘Purchase History’.1/2
965,estimated delivery wed oct fri oct paid using paisapay havent received yet,"@115937 Estimated delivery Wed, 25 Oct - Fri, 27 Oct
You have paid using PaisaPay on 21/10/17. 
but i havent received it yet on 1/11/17."
966,always open claim get ball rolling coverage,@116026 You can always open a claim https://t.co/xlN11csEfc to get the ball rolling on that coverage! ^BB
967,closed case lost pounds ebay theft ebay care,@AskeBay I did that they closed my case have I lost £120 pounds now because of eBay theft and eBay does not care
968,well would happy take look claim could dm us details please,@116026 Well I would be more than happy to take a look at that claim for you. Could you DM us with more details please? ^BB
969,delivery company saying delivered street give address seller saying proof one show,@AskeBay The delivery company is saying they delivered it to my street won't give address the seller is saying she has proof but no one will show me
970,hey james could send us dm information look you,@116026 Hey James - Could you send us a DM with all the information so we can look into that for you? ^BB
971,option bought something ebay delivered ebay closed claim get money back,@AskeBay what option do I have if I bought something on eBay and wasn't delivered and eBay closed my claim to get the money back?
972,desktop go item page view item gt manage offers gt change offer settings get going,@116027 On a desktop go to item page (view item) &gt; Manage Offers &gt; Change offer settings. You can get that going here. ^CC
973,setup automatic declines listed help centre im struggling find settings,@AskeBay How do I setup automatic declines? Its not listed in your help centre and I’m struggling to find the settings
974,help sell items sure set automatic decline settings see low offers,@116027 This is to help sell your items. Be sure to set up Automatic Decline in your settings so you don't have to see low offers. ^CC
975,remove best offer facility buy items selling items wish offer best offer,@AskeBay can you remove the best offer facility from buy it now items?? I am selling items that I do not wish to offer ‘best offer’
976,cancel dropbox business hope helps take care things,@116028 ...Cancel Dropbox Business. Hope this helps take care of things for you. 😊 2/2
977,change work dropbox account back personal account tested trial version want account personal,@116029 How can I change my work Dropbox account back to a personal account? I tested the trial version now I want my account to be personal again.
978,were excited announce university cambridge using dropbox business power collaboration,We’re excited to announce the University of Cambridge is using Dropbox Business to power collaboration. https://t.co/SBIyDSyCDK https://t.co/3f69m3x5gF
979,hey justin apologies delay still unable access ebook let us know thanks,"@116030 Hey Justin, apologies for the delay, are you still unable to access the eBook? https://t.co/XvZzHN3eu0 Let us know, thanks!"
980,fyi solutionsmarketing db business noticed read ebook link broken,@116029 FYI was on your solutions/marketing of DB Business and noticed the read the eBook link is broken... https://t.co/aRWCfgYMoO
981,understand weve added comments suggestion cheers,"@116031 We understand, and we’ve added your comments to your suggestion. Cheers!"
982,please do “ as user would like hide irrelevant old contacts suggestions order make room relevant one,"@DropboxSupport Please do! “As a user, I would like to hide irrelevant or old contacts from suggestions, in order to make room for relevant ones.” :)"
983,hi there currently isnt possible hide suggestion list however certainly forward request dev team,"@116031 Hi there, currently it isn’t possible to hide the suggestion list, however we can certainly forward this request to our dev team!"
984,remove suggested contacts invite people paper column third party contacts connected,"@DropboxSupport How do I remove the suggested contacts in ""Invite people to Paper"" column? I don't have any third party contacts connected."
985,hey james fly,"@116032 Hey James, when did you fly? ^E"
986,please update tier points account thanks,@VirginAtlantic can you please update my tier points on my account - thanks.
987,sorry hear process frustrating,@116033 Sorry to hear this process was so frustrating. ^N
988,times hour phone lets hope everything correct id hate something wrong special occasion,"@VirginAtlantic 3 times over an hour on the phone, let’s just hope everything is correct now I’d hate for something to be wrong for a special occasion"
989,spoken team phone this advised,@116033 Have you spoken to our team on the phone about this? What were you advised? ^H
990,rd call hoping everything sorted booked flights guys peoples details incorrect worried,"3rd call to @VirginAtlantic hoping everything is sorted, booked flights for 4 guys and 2 peoples details were incorrect should I be worried?"
991,send us message clicking link,@116034 You can send us a message by clicking the link below. ^cr https://t.co/CoOXedUuUC
992,refuses provide copy contract even though theyre quoting justify stealing,"@116035 refuses to provide me with a copy of my contract, even though they’re quoting it to justify stealing $800 from me"
993,hello wed like know twitter post please send us additional details concerns thank,"@116034 Hello, we'd like to know more about your Twitter post. Please send us additional details about your concerns. Thank you. ^cr"
994,thank taking time speak us today appreciate opportunity help,@116036 Thank you for taking the time to speak with us today. We appreciate the opportunity to help. ^mg
995,thanks,@BofA_Help Thanks
996,thank patience well call shortly,@116036 Thank you for your patience. We'll call you shortly. ^mg
997,made another try call reached voicemail please return call given still need help,@116037 I made another try to call you and reached your voice-mail. Please return my call at the # given if you still need help. ^kl
998,anytime noon today anytime tomorrow,@BofA_Help Anytime after 12noon today or anytime tomorrow
999,were am pm et mondayfriday ampm et saturday best time reach you,@116037 We’re here from 8:00 am-9:00 pm ET Monday-Friday and 11:00 am-8:00pm ET Saturday. When is the best time to reach you? ^ra
